100,10,102718348.37562992,5
100,15,184639986.93015262,5
100,20,281792571.3414179,5
100,25,392722158.1986992,5
100,30,508673650.2689976,5
100,35,642118287.2409831,5
100,40,771268308.8213047,5
100,45,917618908.7223396,5
100,50,1085740801.3114345,5
150,10,46124421.34535609,5
150,15,82507242.27854043,5
150,20,123709317.6081995,5
150,25,171937022.40762475,5
150,30,228173072.84937996,5
150,35,285658981.2826945,5
150,40,342544982.09710526,5
150,45,406201656.27340466,5
150,50,480996950.82806987,5
200,10,25556582.978897516,5
200,15,46854452.77046325,5
200,20,69261466.36429343,5
200,25,95392486.2828129,5
200,30,127582127.71517372,5
200,35,155815897.2266588,5
200,40,188111704.99961573,5
200,45,230833443.86200556,5
200,50,261489749.92262018,5
250,10,16521696.738701208,5
250,15,28744217.663742643,5
250,20,44560566.00964169,5
250,25,62777727.58170789,5
250,30,80555310.78201538,5
250,35,101125920.3762546,5
250,40,122755374.01470797,5
250,45,145182920.9791411,5
250,50,174034515.0725849,5
