100,10,104371785.10546176,5
100,15,182410578.39803636,5
100,20,285188393.573347,5
100,25,390713397.1598106,5
100,30,516008884.6206637,5
100,35,623445363.302215,5
100,40,782668405.7164015,5
100,45,900571345.8167741,5
100,50,1079567890.43995,5
300,10,11397212.596797073,5
300,15,20465020.72809325,5
300,20,30752918.658506017,5
300,25,43690555.334432475,5
300,30,56159927.7515815,5
300,35,69990118.90530944,5
300,40,86458813.29574889,5
300,45,102342783.02621323,5
300,50,117621832.55408348,5
500,10,4230053.441133243,5
500,15,7261853.051065823,5
500,20,11118780.706568444,5
500,25,15671231.859511027,5
500,30,19954987.293464154,5
500,35,25616200.666917834,5
500,40,30747004.88897688,5
500,45,36898240.046171784,5
500,50,43361447.16804394,5
700,10,2134400.491981558,5
700,15,3705527.0069870646,5
700,20,5625455.214747262,5
700,25,7916548.903950392,5
700,30,10431833.083602827,5
700,35,12897972.238314705,5
700,40,15750520.43693457,5
700,45,18582821.063370515,5
700,50,21692961.574972402,5
900,10,1282146.5245028525,5
900,15,2222471.0522290026,5
900,20,3451841.0788929616,5
900,25,4660025.854131312,5
900,30,6131296.895962278,5
900,35,7821519.649871088,5
900,40,9502105.745739538,5
900,45,11040383.294603217,5
900,50,13098939.020698346,5
150,10,46124421.34535609,5
150,15,82507242.27854043,5
150,20,123709317.6081995,5
150,25,171937022.40762475,5
150,30,228173072.84937996,5
150,35,285658981.2826945,5
150,40,342544982.09710526,5
150,45,406201656.27340466,5
150,50,480996950.82806987,5
200,10,25556582.978897516,5
200,15,46854452.77046325,5
200,20,69261466.36429343,5
200,25,95392486.2828129,5
200,30,127582127.71517372,5
200,35,155815897.2266588,5
200,40,188111704.99961573,5
200,45,230833443.86200556,5
200,50,261489749.92262018,5
250,10,16521696.738701208,5
250,15,28744217.663742643,5
250,20,44560566.00964169,5
250,25,62777727.58170789,5
250,30,80555310.78201538,5
250,35,101125920.3762546,5
250,40,122755374.01470797,5
250,45,145182920.9791411,5
250,50,174034515.0725849,5
